These are the vertex-ID's, d-values, and pi-values of Dijkstra's algorithm performed
on the graph given by the text file that was passed into command prompt.
Dijkstra's algorithm (Binary Min Heap version) on AND-region-simple.tmg.txt
Format:
ID, d, pi
(0, 0, None)
(71, 154.5609194395453, 0)
(69, 739.297646142107, 71)
(72, 1039.7219296062258, 69)
(139, 2089.6713272053366, 72)
(68, 2778.5429368294394, 139)
(138, 3693.9617248167315, 68)
(67, 5610.926505521019, 138)
(66, 6469.192220160994, 67)
(10, 7155.477410099, 66)
(1, 7776.867022813371, 10)
(142, 8498.593073600896, 10)
(74, 8642.747537204457, 1)
(73, 10781.24642861168, 74)
(11, 11786.75261300331, 73)
(9, 12211.32276859954, 1)
(8, 13251.177326241923, 9)
(93, 13430.307349871424, 8)
(7, 13649.958774059574, 8)
(91, 13736.079190970082, 7)
(92, 13816.719778047122, 91)
(6, 13975.780816337867, 7)
(13, 14617.50629879523, 6)
(5, 14934.703144512157, 6)
(95, 15007.161605040663, 9)
(88, 15098.800362063936, 13)
(86, 15436.845588481483, 5)
(14, 15862.331225681037, 13)
(94, 15884.081606530917, 95)
(89, 16927.503112281727, 14)
(90, 17931.77399646121, 89)
(4, 17995.531517144947, 5)
(87, 18030.35146896631, 14)
(3, 18302.559083872893, 4)
(79, 18724.587085402334, 3)
(12, 18754.83260240488, 4)
(70, 18872.4541846586, 3)
(84, 19080.19858787691, 12)
(78, 19541.89443804562, 79)
(80, 20121.07412079718, 78)
(2, 20244.82104497872, 70)
(76, 20592.128805283195, 2)
(85, 20729.696202837666, 12)
(77, 20822.397716333937, 80)
(81, 21721.923025425924, 77)
(30, 21997.53396061069, 2)
(82, 22167.650185908817, 81)
(140, 22321.200730091867, 30)
(83, 22828.791707165303, 82)
(31, 23094.80928977116, 30)
(144, 23522.434594180246, 140)
(25, 25103.90361922537, 83)
(33, 25351.64703255308, 144)
(158, 25618.96736728658, 31)
(141, 25983.53663831324, 31)
(145, 26104.497946922562, 33)
(75, 26276.073480015555, 141)
(34, 26413.25051395972, 145)
(110, 26827.738835960743, 25)
(39, 27149.72277703038, 34)
(155, 27616.00668975803, 39)
(143, 27629.09311047001, 34)
(107, 27742.105533439695, 110)
(146, 28014.532024616667, 143)
(108, 28250.494543582125, 107)
(151, 28511.4132037657, 155)
(35, 28534.593244277436, 33)
(154, 28673.00172341207, 151)
(36, 28801.59406757908, 35)
(32, 28886.85767824694, 143)
(37, 28923.894622216172, 36)
(150, 28975.20242194178, 154)
(165, 29015.448108082786, 36)
(171, 29267.008721427614, 37)
(147, 29344.866947186238, 146)
(163, 29452.947125802286, 165)
(38, 29569.45160320201, 39)
(42, 29643.147258610334, 171)
(109, 29673.76160223415, 108)
(148, 29782.98201847981, 32)
(149, 29914.77648306941, 38)
(172, 29965.246349090285, 42)
(169, 29985.562238230847, 163)
(41, 30216.071754124867, 169)
(153, 30281.232465248417, 150)
(17, 30301.62360420501, 37)
(170, 30434.134618674292, 41)
(26, 30443.0148149555, 172)
(16, 30491.012619992027, 17)
(152, 30492.53042169765, 153)
(23, 30592.699734020713, 16)
(112, 30705.26412681291, 109)
(45, 30755.105625908975, 32)
(118, 30764.984538921963, 23)
(166, 30786.662362149218, 170)
(24, 30846.7738104795, 23)
(119, 30886.65595404314, 118)
(104, 30911.99092284577, 26)
(177, 30982.434956965837, 45)
(106, 31219.698282550307, 41)
(167, 31219.702240792158, 166)
(105, 31290.67502065232, 104)
(18, 31627.116295931042, 16)
(120, 31645.497677620617, 24)
(46, 32004.293216574995, 45)
(121, 32165.298941220317, 120)
(164, 32320.900800039453, 167)
(19, 32330.29068011043, 18)
(27, 32356.10992695079, 19)
(111, 32478.020038773142, 112)
(113, 32549.69394639421, 27)
(22, 32617.011562811247, 24)
(114, 32787.99697359273, 113)
(47, 32920.80819901309, 46)
(162, 32988.35096089845, 164)
(115, 33040.53114685731, 114)
(198, 33091.86778138261, 47)
(175, 33151.87670889449, 42)
(20, 33282.686718915356, 19)
(28, 33292.803815909596, 22)
(116, 33438.58251256775, 20)
(128, 33496.594126936216, 28)
(129, 33749.151294757474, 128)
(168, 33876.016139762985, 162)
(29, 33973.5423982724, 28)
(48, 33994.13698645241, 198)
(52, 34046.74758680392, 48)
(179, 34503.13604159887, 52)
(130, 34518.95681132477, 29)
(49, 34666.312595324795, 48)
(53, 34750.67475684229, 52)
(131, 34802.049461042356, 130)
(180, 34906.77682617133, 179)
(125, 34982.45418208922, 29)
(132, 34994.85752372535, 131)
(40, 35028.047736623324, 168)
(136, 35179.358610812946, 125)
(184, 35310.64336884059, 180)
(135, 35317.81394428857, 136)
(123, 35414.655384658574, 22)
(21, 35513.33510685625, 20)
(197, 35591.615947989994, 53)
(50, 35664.450257268894, 47)
(117, 35664.65517338872, 21)
(137, 35675.846933048604, 135)
(51, 35730.86685949528, 50)
(182, 35752.94239805751, 184)
(210, 35944.71950875639, 51)
(97, 36008.10821989462, 117)
(220, 36020.19416140511, 53)
(188, 36182.132341115524, 197)
(181, 36214.673279024755, 182)
(54, 36282.99179702888, 49)
(209, 36322.77615451015, 210)
(133, 36447.88547780493, 125)
(44, 36534.886487739735, 123)
(208, 36762.729041184786, 209)
(205, 36810.2723190195, 50)
(178, 37056.266293388864, 181)
(55, 37098.581926837214, 54)
(217, 37181.73313556012, 220)
(207, 37200.94240196583, 208)
(157, 37223.12762552082, 40)
(134, 37238.567482219034, 133)
(199, 37300.000342307525, 55)
(196, 37368.85726761575, 188)
(222, 37373.50745042751, 54)
(174, 37454.87491599947, 51)
(206, 37547.7476033437, 207)
(156, 37575.41645330104, 157)
(183, 37584.54909247047, 178)
(127, 37637.841783531985, 44)
(211, 37731.712971140325, 206)
(223, 37822.2305449132, 55)
(58, 37863.1513421525, 49)
(173, 37930.27030506134, 44)
(192, 38046.25513158715, 196)
(43, 38165.49543694357, 127)
(126, 38356.645968440964, 43)
(176, 38392.50390985601, 43)
(60, 38413.40089590934, 223)
(57, 38512.3720299875, 205)
(56, 38727.5225896515, 57)
(204, 38851.337903624924, 56)
(216, 38968.49695400266, 217)
(187, 38974.340025006204, 192)
(200, 39085.4535784968, 56)
(224, 39235.58223244716, 60)
(186, 39496.45005773217, 187)
(201, 39769.91933608697, 60)
(203, 39799.711542729456, 200)
(218, 39963.94113555713, 216)
(195, 40100.197539786284, 186)
(96, 40215.107448246745, 21)
(202, 40275.347981827545, 201)
(193, 40505.019452757704, 195)
(15, 40896.194216389944, 96)
(190, 41200.24845548447, 193)
(122, 41307.52675645125, 173)
(214, 41576.30651464421, 218)
(191, 41584.874199415164, 190)
(189, 42138.322625071065, 191)
(212, 42273.1383673393, 214)
(102, 42341.76549663609, 15)
(194, 42535.06039025115, 189)
(100, 42648.300359294066, 102)
(61, 42773.71105224622, 15)
(99, 42972.00854935705, 100)
(98, 43189.03805360198, 99)
(59, 43635.25294762124, 212)
(101, 43645.35209481028, 98)
(185, 43859.25746498489, 194)
(124, 43940.50451483078, 122)
(63, 44023.627559630964, 61)
(221, 44064.49892915405, 59)
(213, 44324.47899466178, 59)
(62, 44773.592656735, 63)
(215, 45125.39607653492, 213)
(64, 45367.87499551708, 62)
(219, 46427.86875042136, 215)
(65, 46561.96429911755, 64)
(103, 47686.95921213294, 65)
(159, inf, None)
(161, inf, None)
(160, inf, None)
