#_of_Vertices       |#_of_Edges          |Dijkstra's_(Array)_(in seconds)    |Dijkstra's_(BinHeap)_(in seconds)  
--------------------|--------------------|-----------------------------------|------------------------------------------
 32                 | 496                | 0.00067279                        | 0.00075522                        
 64                 | 2016               | 0.00242172                        | 0.00248081                        
 128                | 8128               | 0.01012338                        | 0.00991779                        
 256                | 32640              | 0.04137960                        | 0.03852236                        
 512                | 130816             | 0.19898309                        | 0.18353744                        
 1024               | 523776             | 0.73354799                        | 0.67299930                        
 2048               | 2096128            | 3.21970252                        | 2.87828865                        
 32                 | 64                 | 0.00029355                        | 0.00032005                        
 64                 | 128                | 0.00072049                        | 0.00063813                        
 128                | 256                | 0.00207401                        | 0.00131670                        
 256                | 512                | 0.00678767                        | 0.00271917                        
 512                | 1024               | 0.02531979                        | 0.00571098                        
 1024               | 2048               | 0.09781767                        | 0.01186305                        
 2048               | 4096               | 0.38677289                        | 0.02559327                        
