Graph_ID            |#_of_Vertices       |#_of_Edges          |Dijkstra's_(Array)_(in seconds)    |Dijkstra's_(BinHeap)_(in seconds)  
--------------------|--------------------|--------------------|-----------------------------------|-------------------------------
 1                  | 32                 | 496                | 0.0006727942922152578             | 0.0007552290004678071             
 2                  | 64                 | 2016               | 0.0024217285081977024             | 0.0024808148737065494             
 3                  | 128                | 8128               | 0.010123381679101536              | 0.009917790174173812              
 4                  | 256                | 32640              | 0.041379608755232763              | 0.03852236102567986               
 5                  | 512                | 130816             | 0.19898309302749112               | 0.1835374460159801                
 6                  | 1024               | 523776             | 0.7335479990113527                | 0.6729993059905246                
 7                  | 2048               | 2096128            | 3.2197025299910456                | 2.878288652030751                 
 8                  | 32                 | 64                 | 0.00029355819430202247            | 0.00032005779584869744            
 9                  | 64                 | 128                | 0.000720497669859065              | 0.0006381331161699361             
 10                 | 128                | 256                | 0.0020740114949876444             | 0.0013167063798755407             
 11                 | 256                | 512                | 0.006787670141618167              | 0.0027191787073388694             
 12                 | 512                | 1024               | 0.025319799493687848              | 0.00571098600126182               
 13                 | 1024               | 2048               | 0.09781767198629678               | 0.011863051798194647              
 14                 | 2048               | 4096               | 0.38677289024111816               | 0.025593278263695538              
