Note: everything below this comment is copied and pasted from my IDLE shell.

generate_table()
Approximations of Sequential and Parallel Monte Carlo Algorithms
n         | sequential    | p = 1         | p = 2         | p = 3         | p = 4         
----------|---------------|---------------|---------------|---------------|---------------
 12       |  3.08417693   |  3.25724529   |  3.25583458   |  3.32823669   |  3.60243071   
 24       |  3.45997205   |  3.25073731   |  3.09654596   |  3.10261782   |  3.06156493   
 48       |  3.34862153   |  3.09773570   |  3.24615210   |  2.93524326   |  3.00171046   
 96       |  3.06316949   |  3.08211532   |  3.21078775   |  3.20606449   |  3.10354797   
 192      |  3.10935793   |  3.21333994   |  3.08903505   |  3.00635618   |  3.01668417   
 384      |  3.10736203   |  3.09997104   |  3.23831130   |  3.12453019   |  3.06619573   
 768      |  3.14718272   |  3.12608092   |  3.09093645   |  3.18496304   |  3.12682153   
 1536     |  3.20975339   |  3.17725136   |  3.14736669   |  3.15612642   |  3.12976178   
 3072     |  3.14240617   |  3.14055293   |  3.15096918   |  3.12351249   |  3.11007868   
 6144     |  3.12890553   |  3.13849863   |  3.16194950   |  3.16257302   |  3.13916648   
 12288    |  3.15028081   |  3.14795586   |  3.14420534   |  3.13532607   |  3.15345127   
 24576    |  3.14422233   |  3.14532512   |  3.15071467   |  3.13807813   |  3.13761819   
 49152    |  3.13678751   |  3.14136616   |  3.14062497   |  3.14925390   |  3.14053103   
 98304    |  3.13699646   |  3.13795741   |  3.14504072   |  3.13707950   |  3.14101774   
 196608   |  3.13986886   |  3.14283855   |  3.14320120   |  3.13878560   |  3.14024133   
 393216   |  3.13945317   |  3.14507219   |  3.14074452   |  3.14266754   |  3.14283214   
 786432   |  3.14189322   |  3.14088627   |  3.14093015   |  3.14181572   |  3.14221005   
 1572864  |  3.14243889   |  3.14087482   |  3.14212363   |  3.14218603   |  3.14013831   
 3145728  |  3.14171906   |  3.14162916   |  3.14172414   |  3.14142274   |  3.14167536   
 6291456  |  3.14145721   |  3.14101772   |  3.14162532   |  3.14143498   |  3.14159821   
 12582912 |  3.14182162   |  3.14138755   |  3.14169636   |  3.14164665   |  3.14137210   
 25165824 |  3.14165994   |  3.14167188   |  3.14152726   |  3.14181821   |  3.14189444   
 50331648 |  3.14150525   |  3.14161326   |  3.14164178   |  3.14150608   |  3.14155185   
time()
Runtimes of Sequential and Parallel Monte Carlo Algorithms
n         | sequential    | p = 1         | p = 2         | p = 3         | p = 4         
----------|---------------|---------------|---------------|---------------|---------------
 12       |  0.00002990   |  0.10884490   |  0.11290070   |  0.12012940   |  0.12987930   
 24       |  0.00002550   |  0.11514140   |  0.11915660   |  0.12153130   |  0.11039520   
 48       |  0.00003050   |  0.09630570   |  0.10151090   |  0.11475840   |  0.11374580   
 96       |  0.00005490   |  0.10213230   |  0.10447640   |  0.10743470   |  0.11267330   
 192      |  0.00008330   |  0.10169950   |  0.10090340   |  0.10838870   |  0.11816130   
 384      |  0.00016400   |  0.09787920   |  0.09998290   |  0.10485380   |  0.11774490   
 768      |  0.00028260   |  0.09718660   |  0.09872070   |  0.11095900   |  0.11587890   
 1536     |  0.00056200   |  0.10337560   |  0.10631080   |  0.10590670   |  0.12877850   
 3072     |  0.00110000   |  0.09789100   |  0.10379980   |  0.11077180   |  0.12339150   
 6144     |  0.00217770   |  0.10792010   |  0.10925200   |  0.11425680   |  0.12285600   
 12288    |  0.00433700   |  0.10810760   |  0.10508190   |  0.13492400   |  0.14301220   
 24576    |  0.00872750   |  0.11218980   |  0.11413490   |  0.11793100   |  0.13039390   
 49152    |  0.01744290   |  0.12263620   |  0.11790210   |  0.13675400   |  0.13586290   
 98304    |  0.03466660   |  0.13822950   |  0.12793320   |  0.13702500   |  0.14788490   
 196608   |  0.07166980   |  0.17753430   |  0.14693750   |  0.15703750   |  0.15539700   
 393216   |  0.15235020   |  0.24939010   |  0.18759790   |  0.17684280   |  0.17027230   
 786432   |  0.31290620   |  0.41365330   |  0.28671150   |  0.26902330   |  0.25245230   
 1572864  |  0.62880020   |  0.68891710   |  0.46795510   |  0.39466710   |  0.35952020   
 3145728  |  1.33550670   |  1.34658690   |  0.76390620   |  0.62077550   |  0.58640750   
 6291456  |  2.46101320   |  2.66544000   |  1.46295830   |  1.13951790   |  1.07805760   
 12582912 |  5.28038290   |  5.11984770   |  2.81917520   |  2.22601670   |  1.94810030   
 25165824 |  11.74988670  |  10.75418710  |  6.09387610   |  4.36794660   |  3.72622980   
 50331648 |  21.24326300  |  20.56199900  |  11.12251690  |  8.26567480   |  6.62019500
